PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2018-01-01,MAGDALENA,Estrato 2,Si,Estrato 2 - Si,239.7861462341946,1819
2018-01-01,MAGDALENA,Estrato 3,No,Estrato 3 - No,215.62515262515262,819
2018-01-01,MAGDALENA,Estrato 3,Si,Estrato 3 - Si,249.96636085626912,1635
2018-01-01,MAGDALENA,Sin Estrato,No,Sin Estrato - No,202.8683937823834,965
2018-01-01,MAGDALENA,Sin Estrato,Si,Sin Estrato - Si,204.1801242236025,161
2018-01-01,META,Estrato 1,No,Estrato 1 - No,241.30346820809248,2422
2018-01-01,META,Estrato 1,Si,Estrato 1 - Si,252.20975609756098,1435
2018-01-01,META,Estrato 2,No,Estrato 2 - No,244.3258358662614,1645
2018-01-01,META,Estrato 2,Si,Estrato 2 - Si,259.19482555860446,2551
2018-01-01,META,Estrato 3,No,Estrato 3 - No,248.10926365795726,421
2018-01-01,META,Estrato 3,Si,Estrato 3 - Si,270.0789081885856,2015
2018-01-01,META,Sin Estrato,No,Sin Estrato - No,227.3568075117371,213
2018-01-01,META,Sin Estrato,Si,Sin Estrato - Si,229.135593220339,59
2018-01-01,NARIÑO,Estrato 1,No,Estrato 1 - No,245.93142467620996,7335
2018-01-01,NARIÑO,Estrato 1,Si,Estrato 1 - Si,262.3310074138683,2293
2018-01-01,NARIÑO,Estrato 2,No,Estrato 2 - No,248.32712600869024,1611
2018-01-01,NARIÑO,Estrato 2,Si,Estrato 2 - Si,276.2689195621133,2101
2018-01-01,NARIÑO,Estrato 3,No,Estrato 3 - No,227.16341463414633,410
2018-01-01,NARIÑO,Estrato 3,Si,Estrato 3 - Si,285.71569506726456,1115
2018-01-01,NARIÑO,Sin Estrato,No,Sin Estrato - No,215.318345323741,556
2018-01-01,NARIÑO,Sin Estrato,Si,Sin Estrato - Si,228.71774193548387,124
2018-01-01,NORTE SANTANDER,Estrato 1,No,Estrato 1 - No,249.7043499631359,4069
